player_id,position,league,tier,games,impact_raw,impact_z,impact_100
Vit,bot,VCS,2,48,0.0184,0.309,60.8
san1,bot,AL,2,61,0.0183,0.307,60.7
Tinelli,sup,PGN,2,29,0.0181,0.304,60.7
BuLuKaKa,mid,LDL,2,91,0.018,0.302,60.7
Ceviche,sup,SL (LATAM),2,23,0.018,0.302,60.7
Dinastik,mid,SL (LATAM),2,23,0.018,0.302,60.7
FSZ,mid,LFL2,2,54,0.018,0.303,60.7
Kedaya,sup,LDL,2,91,0.018,0.302,60.7
PiOk,bot,LFL2,2,54,0.018,0.303,60.7
S0bek,top,LFL2,2,54,0.018,0.303,60.7
Shall,jng,SL (LATAM),2,23,0.018,0.302,60.7
Bean,bot,LVP SL,2,81,0.0177,0.298,60.6
Crack,sup,LDL,2,79,0.0176,0.295,60.5
Starfire,jng,LDL,2,79,0.0176,0.295,60.5
Leleko,mid,CBLOLA,2,58,0.0173,0.29,60.4
Attila,bot,LVP SL,2,52,0.0172,0.289,60.4
Decay,mid,LVP SL,2,52,0.0172,0.289,60.4
Kamiloo,mid,LFL2,2,60,0.0172,0.289,60.4
Luco,sup,LRS,2,22,0.017,0.285,60.3
Amazo,jng,NACL,2,32,0.0169,0.283,60.3
Mishal,sup,AL,2,35,0.0169,0.284,60.3
Natur3,sup,PCS,2,34,0.0169,0.284,60.3
Tony Top,top,NACL,2,32,0.0169,0.283,60.3
Robba,jng,ESLOL,2,82,0.0167,0.281,60.3
Calix,mid,LCKC,2,42,0.0164,0.275,60.2
Climber,jng,LDL,2,75,0.0164,0.274,60.1
Loki,mid,ASCI,2,24,0.0164,0.275,60.2
xHun,mid,LDL,2,75,0.0164,0.274,60.1
Random,mid,LVP SL,2,62,0.0163,0.274,60.1
Hunter,jng,NEXO,2,55,0.0162,0.271,60.1
Tixn,mid,ESLOL,2,22,0.0161,0.27,60.1
Chookies,sup,NACL,2,63,0.0158,0.264,60.0
Haoye,jng,LDL,2,39,0.0158,0.264,60.0
NuL1,mid,PCS,2,20,0.0158,0.266,60.0
ADC1,bot,LAS,2,21,0.0155,0.259,59.9
Diva,mid,EBL,2,79,0.0155,0.26,59.9
Stend,sup,LVP SL,2,61,0.0155,0.261,59.9
Akashi,mid,AL,2,22,0.0154,0.258,59.9
Lucky,sup,AL,2,22,0.0154,0.258,59.9
Neon,bot,LFL,2,53,0.0154,0.258,59.8
Postkassen,sup,GLL,2,28,0.0154,0.258,59.8
Keres,sup,PCS,2,52,0.0152,0.254,59.8
Baca,mid,LVP SL,2,61,0.0151,0.252,59.7
Koldo,jng,LVP SL,2,61,0.0151,0.252,59.7
Sinmivak,top,LVP SL,2,61,0.0151,0.252,59.7
DiDi,mid,LRS,2,48,0.015,0.252,59.7
Shiganari,bot,LFL,2,70,0.015,0.252,59.7
RonOP,sup,VCS,2,37,0.0149,0.249,59.7
Yado,mid,VCS,2,47,0.0148,0.247,59.7
Cha9,sup,PCS,2,21,0.0145,0.243,59.6
Kellie,sup,NEXO,2,37,0.0145,0.242,59.6
SCARY,jng,CBLOLA,2,53,0.0145,0.243,59.6
Today,bot,LDL,2,27,0.0143,0.24,59.5
Brayaron,top,DDH,2,42,0.0142,0.238,59.5
Serin,mid,TCL,2,54,0.0142,0.238,59.5
Zorah,sup,LDL,2,86,0.0141,0.237,59.5
FleekZ,sup,GL,2,44,0.0139,0.233,59.4
Jwei,sup,LDL,2,65,0.0137,0.23,59.3
zhiqiuyi,bot,LDL,2,48,0.0137,0.229,59.3
Kakan,top,GLL,2,24,0.0136,0.228,59.3
IC8,sup,PCS,2,36,0.0135,0.226,59.2
Taco,top,PCS,2,36,0.0135,0.226,59.2
Tide,bot,PCS,2,36,0.0135,0.226,59.2
Career,sup,LCKC,2,27,0.0134,0.224,59.2
Hugato,jng,CBLOLA,2,26,0.0134,0.224,59.2
EpicReaper,sup,DDH,2,27,0.0132,0.221,59.2
GIDEON,jng,LPL,1,36,0.0132,0.221,59.2
Notiko,bot,PRM,2,49,0.0132,0.221,59.2
Enso,sup,PCS,2,42,0.0128,0.214,59.0
Lauva,jng,PCS,2,42,0.0128,0.214,59.0
Minji,mid,PCS,2,42,0.0128,0.214,59.0
Yanxiang,jng,LDL,2,45,0.0128,0.213,59.0
ShiauC,sup,PCS,2,49,0.0122,0.203,58.8
Acorderr,sup,UL,2,30,0.0121,0.203,58.8
Obstinatus,sup,LVP SL,2,44,0.0121,0.201,58.8
Vigil,top,UL,2,32,0.0121,0.202,58.8
Coated,top,VCS,2,45,0.0118,0.197,58.7
Knighter,mid,NLC,2,39,0.0118,0.197,58.7
Slay,sup,VCS,2,45,0.0118,0.197,58.7
Ming,sup,LPL,1,47,0.0115,0.192,58.6
Recap,mid,LJL,2,74,0.0115,0.192,58.6
TaNa,top,LJL,2,74,0.0115,0.192,58.6
hachamecha,jng,LJL,2,74,0.0115,0.192,58.6
Xicor,bot,AL,2,37,0.0113,0.188,58.6
Romuka,top,HM,2,23,0.0111,0.185,58.5
Shadow,sup,LLA,2,49,0.0111,0.184,58.5
Mystiques,bot,UL,2,32,0.0109,0.181,58.4
Eika,mid,LFL,2,71,0.0108,0.18,58.4
Hantera,sup,LFL,2,71,0.0108,0.18,58.4
Lot,top,LFL,2,71,0.0108,0.18,58.4
SkewMond,jng,LFL,2,71,0.0108,0.18,58.4
LiquidDiego,jng,DDH,2,51,0.0107,0.178,58.4
Skude,jng,AL,2,52,0.0106,0.177,58.4
Dec0y,top,NACL,2,22,0.0105,0.174,58.3
Dolis,mid,HC,2,35,0.0105,0.175,58.3
Giankios,top,LMF,2,40,0.0105,0.175,58.3
HeSSZero,top,GLL,2,55,0.0102,0.17,58.2
Haru,jng,TCL,2,35,0.01,0.166,58.1
HolyPhoenix,bot,TCL,2,35,0.01,0.166,58.1
huanfeng,bot,LPL,1,46,0.01,0.166,58.1
Ssol,bot,LJL,2,30,0.0099,0.164,58.1
Zherathor,mid,NEXO,2,32,0.0098,0.163,58.1
Legolas,bot,LVP SL,2,51,0.0097,0.161,58.1
whiteinn,sup,LVP SL,2,52,0.0095,0.158,58.0
Camilo,jng,LRS,2,38,0.0094,0.156,58.0
Contractz,jng,LCS,1,72,0.0094,0.157,58.0
Dhokla,top,LCS,1,72,0.0094,0.157,58.0
Jojopyun,mid,LCS,1,54,0.0094,0.156,58.0
Palafox,mid,LCS,1,72,0.0094,0.157,58.0
Aherusi,mid,LDL,2,21,0.0091,0.151,57.9
Seize,jng,LLA,2,50,0.0091,0.152,57.9
Aizhon,sup,NEXO,2,35,0.009,0.148,57.8
Akemi,top,VL,2,24,0.009,0.149,57.8
Atlen,bot,PCS,2,43,0.009,0.15,57.8
CaTzzz,bot,SL (LATAM),2,37,0.009,0.15,57.8
Feng,jng,DDH,2,76,0.009,0.149,57.8
Infamous,mid,VL,2,24,0.009,0.149,57.8
Sam,jng,VL,2,24,0.009,0.149,57.8
Kaori,bot,TCL,2,53,0.0089,0.147,57.8
Kerfa,top,VL,2,38,0.0088,0.146,57.8
Haeri,mid,LCS,1,46,0.0087,0.144,57.7
Milan,bot,LJLA,2,39,0.0086,0.142,57.7
Nafkelah,bot,LVP SL,2,41,0.0086,0.143,57.7
Taki,sup,VCS,2,81,0.0086,0.142,57.7
donbray,sup,NACL,2,37,0.0086,0.142,57.7
Breathe,top,LPL,1,97,0.0084,0.139,57.6
DANY,bot,HM,2,64,0.0084,0.138,57.6
FGG,sup,HM,2,64,0.0084,0.138,57.6
TynX,jng,HM,2,64,0.0084,0.138,57.6
Wei,jng,LPL,1,97,0.0084,0.139,57.6
bobista,top,HM,2,64,0.0084,0.138,57.6
Cassius,sup,SL (LATAM),2,21,0.0083,0.138,57.6
Dertako,top,SL (LATAM),2,21,0.0083,0.138,57.6
Kingston,jng,TCL,2,20,0.0083,0.138,57.6
Viciun,bot,LRS,2,53,0.0082,0.135,57.6
nicolaiy,jng,UL,2,34,0.0082,0.135,57.6
Akunma,top,SL (LATAM),2,57,0.0081,0.134,57.5
LvMao,sup,LPL,1,42,0.0081,0.134,57.5
Kakkun,mid,LJLA,2,20,0.008,0.132,57.5
Momo,top,LJLA,2,20,0.008,0.132,57.5
Yunika,jng,LJLA,2,20,0.008,0.132,57.5
wanan,bot,LJLA,2,20,0.008,0.132,57.5
BeanJ,jng,VCS,2,68,0.0078,0.128,57.4
Davo,sup,VL,2,34,0.0078,0.128,57.4
Petoska,top,AL,2,22,0.0077,0.127,57.4
Fatihcan,bot,TCL,2,46,0.0076,0.125,57.4
ImMine,jng,VL,2,24,0.0076,0.125,57.4
Mortuario,sup,VL,2,24,0.0076,0.125,57.4
Nickleaf,bot,VL,2,24,0.0076,0.125,57.4
Nishkyu,mid,VL,2,24,0.0076,0.125,57.4
Feedarias,sup,LPLOL,2,41,0.0074,0.122,57.3
Kisno,jng,NACL,2,52,0.0073,0.12,57.3
Rokecs,bot,GL,2,20,0.0072,0.119,57.3
Impact,top,LCS,1,48,0.0071,0.117,57.2
Spica,jng,LCS,1,48,0.0071,0.117,57.2
Betty,bot,LPL,1,75,0.007,0.116,57.2
Ayu,bot,CBLOL,2,47,0.0069,0.113,57.1
Guertas,jng,ESLOL,2,67,0.0069,0.113,57.2
Thesnake,bot,LDL,2,28,0.0069,0.113,57.1
ChiCh1,bot,PCL,2,35,0.0066,0.109,57.1
Mirror,sup,LDL,2,46,0.0066,0.109,57.1
Nestea,sup,PCS,2,30,0.0066,0.108,57.0
Piqueos,mid,DDH,2,56,0.0066,0.108,57.0
TNS,sup,PCL,2,35,0.0066,0.109,57.1
Zkai,top,PCL,2,35,0.0066,0.109,57.1
Rbow,top,LDL,2,41,0.0065,0.107,57.0
scuro,bot,CBLOLA,2,61,0.0065,0.107,57.0
Joekie,jng,ESLOL,2,20,0.0064,0.104,57.0
Daglas,jng,LFL,2,58,0.0063,0.104,57.0
Guwon,jng,LCKC,2,105,0.0063,0.103,57.0
Bruce,jng,PCS,2,76,0.0062,0.102,56.9
Haklbery,top,HC,2,38,0.0062,0.102,56.9
Scoooped,bot,NACL,2,33,0.0062,0.102,56.9
Jorx,jng,NEXO,2,24,0.0061,0.1,56.9
Loers,mid,VL,2,48,0.0061,0.099,56.9
Ethe,top,NEXO,2,21,0.006,0.098,56.9
Feather,sup,LDL,2,67,0.006,0.098,56.9
Humanoid,mid,LEC,1,75,0.006,0.097,56.8
Razork,jng,LEC,1,75,0.006,0.097,56.8
Trigo,bot,CBLOL,2,56,0.006,0.098,56.9
Yoichi,mid,AL,2,21,0.0059,0.096,56.8
Nayuki,top,LDL,2,23,0.0058,0.094,56.8
Yohan,jng,NLC,2,45,0.0058,0.095,56.8
Tutsz,mid,CBLOLA,2,36,0.0055,0.089,56.7
Yuta,jng,HC,2,38,0.0055,0.09,56.7
kobe67,mid,HC,2,38,0.0055,0.09,56.7
Brance,bot,CBLOL,2,44,0.0054,0.089,56.7
Disamis,jng,CBLOL,2,44,0.0054,0.089,56.7
Hauz,mid,CBLOL,2,44,0.0054,0.089,56.7
Hoshisora,bot,LDL,2,20,0.0054,0.088,56.7
JoJo,sup,CBLOL,2,44,0.0054,0.089,56.7
Tay,top,CBLOL,2,44,0.0054,0.089,56.7
Inspired,jng,LCS,1,25,0.0053,0.086,56.6
Danteh,bot,LCO,2,26,0.0052,0.085,56.6
View,jng,LDL,2,46,0.0052,0.085,56.6
Kepler,bot,LDL,2,64,0.0051,0.082,56.6
Foxie,mid,NEXO,2,26,0.005,0.081,56.5
Keaiduo,bot,LDL,2,71,0.005,0.081,56.5
KroMAX,sup,UL,2,44,0.005,0.081,56.5
Make,sup,NEXO,2,31,0.005,0.081,56.5
Sh3ry,bot,NEXO,2,26,0.005,0.081,56.5
Uthred,top,NEXO,2,26,0.005,0.081,56.5
Zamudo,top,NACL,2,43,0.005,0.08,56.5
micaO,bot,CBLOLA,2,37,0.0049,0.079,56.5
Tenacity,top,LCS,1,30,0.0048,0.077,56.5
Habubu,jng,GLL,2,21,0.0047,0.076,56.4
ADD,top,NACL,2,37,0.0045,0.072,56.4
Joey,sup,NACL,2,37,0.0045,0.072,56.4
Mitsuki,sup,LDL,2,24,0.0045,0.072,56.4
Ryan3,bot,LDL,2,24,0.0045,0.072,56.4
Wixxi,bot,NACL,2,37,0.0045,0.072,56.4
Artifact,mid,VCS,2,61,0.0043,0.07,56.3
Shockey,top,NACL,2,31,0.0043,0.07,56.3
Aeon,bot,UL,2,40,0.0041,0.066,56.2
Greed,mid,LAS,2,27,0.0041,0.065,56.2
Bjergsen,mid,LCS,1,28,0.004,0.063,56.2
Rayzorac,top,ESLOL,2,21,0.0039,0.062,56.2
Universe,mid,NEXO,2,29,0.0039,0.062,56.2
Mission,mid,PCS,2,63,0.0037,0.058,56.1
Xeltop,mid,ESLOL,2,21,0.0035,0.055,56.0
Ploxy,jng,NLC,2,24,0.0034,0.053,56.0
Afroboi,jng,PRM,2,44,0.0032,0.051,56.0
Jackspektra,bot,LEC,1,60,0.0032,0.051,56.0
Mishi,bot,PRM,2,44,0.0032,0.051,56.0
Sacre,top,PRM,2,44,0.0032,0.051,56.0
Seal,sup,PRM,2,44,0.0032,0.051,56.0
Simpli,mid,PRM,2,44,0.0032,0.051,56.0
Cipher,mid,AL,2,47,0.003,0.046,55.9
Oscure,sup,LVP SL,2,52,0.003,0.047,55.9
Flawed,jng,ESLOL,2,32,0.0029,0.045,55.9
Libra,top,NEXO,2,33,0.0029,0.046,55.9
ST3PZ,bot,CBLOLA,2,45,0.0029,0.045,55.9
Zinco,bot,LDL,2,33,0.0029,0.046,55.9
Orca,sup,PCS,2,50,0.0028,0.044,55.8
Azog,bot,NACL,2,29,0.0027,0.041,55.8
Hiro,top,UL,2,82,0.0027,0.041,55.8
6ax,mid,EBL,2,32,0.0022,0.033,55.6
Bo,jng,LEC,1,42,0.0022,0.034,55.6
Cloud,sup,LAS,2,37,0.0021,0.032,55.6
Boal,top,CBLOL,2,32,0.0019,0.028,55.5
Matixx,top,UL,2,64,0.0019,0.028,55.5
Galaxy,mid,LPLOL,2,23,0.0016,0.024,55.5
Foxy,bot,GL,2,47,0.0015,0.022,55.4
Wilson,jng,NACL,2,49,0.0015,0.022,55.4
Hadess,jng,LVP SL,2,22,0.0012,0.017,55.3
iFrix,jng,VL,2,52,0.0012,0.016,55.3
Corporal,sup,LJL,2,72,0.0011,0.015,55.3
Ignar,sup,LCS,1,58,0.0011,0.015,55.3
Shogun,bot,VCS,2,82,0.0011,0.015,55.3
Smurfe,top,LFL2,2,61,0.001,0.013,55.2
5kid,bot,LLA,2,53,0.0009,0.011,55.2
Ackerman,sup,LLA,2,53,0.0009,0.011,55.2
Fatorix,bot,DDH,2,61,0.0009,0.012,55.2
Keine,mid,LLA,2,53,0.0009,0.011,55.2
Solid,jng,LLA,2,53,0.0009,0.011,55.2
Nikolex,jng,GLL,2,33,0.0006,0.006,55.1
Qingtian,top,LPL,1,36,0.0006,0.006,55.1
Haenam,top,LAS,2,28,0.0005,0.005,55.1
Kenal,bot,PGN,2,27,0.0005,0.005,55.1
Own3r,jng,LPLOL,2,42,0.0005,0.004,55.1
Lava,mid,CBLOL,2,48,0.0004,0.003,55.1
Netuno,bot,CBLOL,2,48,0.0004,0.003,55.1
Odessa,sup,LJLA,2,24,0.0004,0.003,55.1
Perle,top,LJLA,2,24,0.0004,0.003,55.1
Ranger,sup,CBLOL,2,48,0.0004,0.003,55.1
Tele,bot,LJLA,2,24,0.0004,0.003,55.1
Tima,jng,LJLA,2,24,0.0004,0.003,55.1
Dove,mid,LPL,1,34,0.0003,0.001,55.0
