name,short,region,location,org,is_disbanded,renamed_to
Awsomniac,AwS,Europe,France,,1,
Axis Empire,AXE,SEA,Malaysia,,1,
AXIZ,AXZ,Asia Pacific,Japan,,1,
AXIZ Academy,AXZ.A,Asia Pacific,Japan,,1,AXIZ CREST Academy
AXIZ CREST,AXC,Asia Pacific,Japan,,1,
AXIZ CREST Academy,AXC.A,Asia Pacific,Japan,,1,
Axolotl,AXL,EMEA,Italy,,0,
Axolotl Academy,AXL.A,Europe,Italy,,1,
AYM Esports,AYM,EMEA,Spain,,1,
AZ Rising Eterna,AZR,EMEA,France,,0,
AZIO Black,AZIO.B,North America,,,1,
AZIO eSports,AZIO,North America,,,1,
AZIO White,AZIO.W,North America,,,1,
Azubu Blaze,AZB,Korea,South Korea,,1,
Azubu Frost,AZF,Korea,South Korea,,1,
Azules Esports,UCH,Brazil,Chile,,0,
Azules Esports Academy,UCH.A,Brazil,Chile,,0,
Azules Esports Fem,UCH.F,Brazil,Chile,,0,
Azure Cats,AC,North America,North America,,1,
B2U,B2U,EMEA,Sweden,,0,
BAAM Esports,BAM,EMEA,Saudi Arabia,,0,
Babos Gaming,BABO,EMEA,Switzerland,,0,
Baby Buffaloes,BABU,EMEA,Turkey,,1,
Baby Paradise,BBP,North America,,,1,
Baby Whales,BW,Asia Pacific,Vietnam,,1,Team Secret (Vietnamese Team) Academy
Back2TheGame,B2TG,EMEA,Poland,,1,
Ball State University,BSU,North America,,,0,
Bamboo Juice,BOO,Asia Pacific,,,0,
Ban Karma Gaming,BKG,Brazil,Brazil,,1,
Bandits Gaming,BAN,Latin America,Dominican Republic,,1,
Bangkok Titans,BKT,SEA,Thailand,,1,
Barça eSports,BAR,EMEA,Spain,,0,
Barcelona BG,BBG,Latin America,Ecuador,,1,
Barcząca Esports Babylon,BCEB,EMEA,Poland,,0,
Barcząca Esports by Yumisu,BCE,EMEA,Poland,,0,
Barrage,BRG,Europe,United Kingdom,,1,
Barrage Academy,BRG.A,Europe,United Kingdom,,1,
Barrage Esports Retirement Home,BRG RH,Europe,United Kingdom,,1,
Barrage.NA,BRG,North America,United Kingdom,,1,
Bastards Esports,BE,EMEA,,,1,Pertinax Esports
Bastille Legacy,BTL,Europe,,,1,
Bastu Five,B5,EMEA,Finland,,0,
Bawk Bawk,BAWK,North America,North America,,1,
Bay State College,BSC,North America,,,1,
BBL Dark Passage,BLDP,EMEA,Turkey,,1,
bbq Olivers,bbq,Korea,South Korea,,1,ESports Connected
BCN Squad,BCN,Europe,Spain,,1,
Be Legend Forever,BLF,Asia Pacific,Vietnam,,1,Zen Esports
BEAGLE BROTHERS,BB,North America,,,1,
Beast Esports,BST,Latin America,Costa Rica,,1,
Beast Mode,B.Mode,LAS,Chile,,1,
Beetle Juice,BJ,EMEA,Turkey,,1,
BeFive,BE5,EMEA,Serbia,,1,
beGenius ESC,BGN,EMEA,France,,1,
Belfast Storm,BSG,EMEA,Northern Ireland,,1,
Bencheados,BEN,Latin America,Chile,,1,
Benched Gaming,BENC,Europe,Europe,,1,Reason Gaming
Benefactor's Revenge,BEN,North America,,,1,
Benelux United,BLX,EMEA,Belgium,,1,
BENZO esport,BENZ,EMEA,Czech Republic,,1,
Berjaya Dragons,BJD,Asia Pacific,Malaysia,,1,
Berlin International Gaming,BIG,EMEA,Germany,,0,
Berlin International Gaming Chroma,BIG.C,EMEA,Germany,,1,
BERZLOY,BORZ,EMEA,Austria,,1,
Beşiktaş Academy,BJK.A,Turkey,Turkey,,1,
Beşiktaş Esports,BJK,EMEA,Turkey,,1,
Besiktas Esports Female,BJK.F,Europe,Turkey,,1,
Beşiktaş.Oyun Hizmetleri,BJK.OH,Turkey,Turkey,,1,
BETA,BETA,Americas,Brazil,,1,
Bethany Lutheran College,BLC,North America,,,0,
Beyond Gaming,BYG,Asia Pacific,Taiwan,,1,
Beyond Gaming Academy,BYG.A,Asia Pacific,Taiwan,,1,
Beyond The Rift,BTR,Europe,France,,1,
BGA eQuizers,BGZ,EMEA,Spain,,1,
Bifrost,BFR,Europe,Norway,,1,
Bifrost White,BFR.W,EMEA,Norway,,1,
Big Aces eSports,BGA,EMEA,Spain,,1,
Big Dog,DAWG,North America,,,1,
Big Dragon57,B57,Asia Pacific,Thailand,,1,
Big Duck Energy,BDE,North America,,,1,
Big Gods,BGG,Brazil,Brazil,,1,
Big Gods Jackals,BGJ,North America,Brazil,,1,
Big One Gaming,BJO,China,China,,1,
Big Plays Incorporated,BPI,Turkey,Turkey,,1,
Bigetron E-Sports,BGES,SEA,Indonesia,,1,
Bigfile Miracle,BFM,Korea,South Korea,,1,
Bilibili Gaming,BLG,China,China,,0,
Bilibili Gaming Junior,BLG.J,China,,,0,
Bionic,BNC,Europe,Germany,,1,
Bis Esports,BIS,EMEA,Spain,,1,
BISONS ECLUB,BSO,EMEA,Spain,,1,
Bitfix RG,BRG,EMEA,Norway,,0,
BK ROG Esports,BKR,EMEA,France,,1,
Black Eagles,BK,LAS,Argentina,,1,
Black Lion,BL,EMEA,Germany,,0,
Black Lotus,BL,North America,,,1,
Black Panthers eSports,BP,Europe,Italy,,1,
Black Rock Esports,BRE,Americas,Canada,,1,
Black Star Gaming,BSG,CIS,Russia,,1,
Blackbean,BB,SEA,Thailand,,1,
BLACKLIST,BLK,North America,,,1,
Blade Edge,BDG,EMEA,Sweden,,1,
Bloodline Esports,BL,EMEA,Sweden,,1,
BloodRain-Gaming,BRG,Europe,Germany,,1,
Bloody Gaming,BDY,North America,,,1,
Bloody Wolves,BW,Europe,Spain,,1,
BloodyDevils,BD,Europe,Czech Republic,,1,
Blue Esports,BLU,North America,,,1,
Blue Otter,BLUE,North America,United States,,0,
Blue Otter Europe,BLUE,EMEA,United States,,0,
BlueWhites,BW,EMEA,Finland,,0,
BNK FEARX,BFX,Korea,South Korea,,0,
BNK FEARX Academy,BFX.A,Korea,South Korea,,1,
BNK FEARX Youth,BFX.Y,Korea,South Korea,,0,
Boavista FC,BFC,EMEA,,,1,
Boba Marines,BM,SEA,Vietnam,,1,GIGABYTE Marines
Boca Juniors Gaming,BOC,Latin America,Argentina,,1,
Bodin E-Sports,BDN,Americas,Brazil,,1,
Bogged,BOG,North America,,,1,
Bohemian Guardians,BG,EMEA,Czech Republic,,0,
Boise State University,BSU,North America,,,0,
Bomba Team,BOOM,EMEA,Poland,,0,
Bombers,BMR,Oceania,Australia,,1,
Bombers Academy,B52,Oceania,Australia,,1,
BOOBA,BBA,EMEA,Spain,,0,
