player_id,position,league,tier,games,winrate,teams,操作,意识,心态,团队,体质,综合,操作_10,意识_10,心态_10,团队_10,体质_10,综合_10,f_gd15,f_xd15,f_cd15,f_dpm,f_dmgshare,f_cspm,f_multi,f_vspm,f_wcpm,f_cwards,f_kp,f_deathshare,f_ejg,f_adver,f_clutch,f_lateg,f_stable,f_egshare,f_dmgmit,f_gspd,f_games,f_decay
Climber,jng,LDL,2,36,0.361,V5 87,47.2,66.2,57.7,56.9,43.6,54.9,4.7,6.6,5.8,5.7,4.4,5.5,0.0,0.0,0.0,290.96601944444444,0.14312407222222223,4.891811111111111,0.0,1.362775,0.36285555555555554,7.75,0.6880530973451328,0.19578313253012047,11.305555555555555,0.2246983865885507,0.0,0.0,-0.9471604939866055,0.16593433333333332,0.0,0.0,36.0,-0.3339093252108715
eight,jng,LDL,2,67,0.552,Top Esports Challenger,54.6,57.9,51.0,48.5,62.2,54.8,5.5,5.8,5.1,4.8,6.2,5.5,0.0,0.0,0.0,360.32512238805975,0.1722386104477612,5.550322388059701,0.0,1.2785731343283582,0.3660358208955224,6.104477611940299,0.684931506849315,0.22740524781341107,7.880597014925373,0.20693186518740778,0.04414444505515429,-0.8508365078492637,-0.9195716995353244,0.18493288059701493,0.0,0.0,67.0,0.1025301680202544
danny1018,top,LDL,2,26,0.423,Team WE Academy,49.9,52.4,75.3,52.2,48.4,54.8,5.0,5.2,7.5,5.2,4.8,5.5,0.0,0.0,0.0,507.7864884615385,0.21756865384615384,6.868734615384615,0.0,0.9906423076923077,0.1588076923076923,5.269230769230769,0.55,0.24651162790697675,0.9615384615384616,0.34230480480480485,0.16858868753432188,0.8780889621087314,-0.8499993974301984,0.19780080769230768,0.0,0.0,26.0,0.13233287858117335
Fatfish,jng,LDL,2,32,0.219,LGD Gaming Young Team,44.9,67.4,58.1,60.5,39.6,54.7,4.5,6.7,5.8,6.0,4.0,5.5,0.0,0.0,0.0,241.03673125,0.148055815625,4.91059375,0.0,1.360625,0.34395625,12.03125,0.7363896848137536,0.2127659574468085,8.34375,0.2848052805280528,0.0,0.0,-1.138136819953774,0.17707525,0.0,0.0,32.0,-0.3109801031687546
Desire,mid,LDL,2,29,0.207,Shu Dai Xiong Gaming,47.5,61.7,70.0,47.1,46.5,54.6,4.8,6.2,7.0,4.7,4.7,5.5,0.0,0.0,0.0,525.8497413793103,0.2588812068965517,8.210110344827585,0.0,1.081051724137931,0.293548275862069,5.758620689655173,0.6314363143631436,0.18452380952380953,0.9310344827586207,0.35831451157538113,0.0,0.0,-0.876013249100033,0.2353593793103448,0.0,0.0,29.0,-0.02831704668838214
Lover11,mid,LDL,2,67,0.522,Team Pinnacle,52.4,66.3,40.0,52.9,55.1,54.4,5.2,6.6,4.0,5.3,5.5,5.4,0.0,0.0,0.0,566.8451820895523,0.2847903134328358,8.154414925373136,0.0,1.1327029850746269,0.32261940298507463,4.537313432835821,0.695351137487636,0.2255813953488372,2.029850746268657,0.19484753783290532,-0.7228852216611333,-0.9367240465362832,-0.8800118593138347,0.22199928358208956,0.0,0.0,67.0,-0.2797303027681956
Jerry,sup,LDL,2,66,0.667,Oh My God|V5 87,46.5,64.9,56.1,47.8,57.0,54.3,4.7,6.5,5.6,4.8,5.7,5.4,0.0,0.0,0.0,148.30267727272727,0.06888603636363635,1.09855,0.0,2.917768181818182,0.3857318181818182,18.196969696969695,0.6689655172413793,0.22577092511013216,0.015151515151515152,0.27456203720426225,-0.25359152337382346,-0.40540700425934695,-0.9279878402253633,0.0919940696969697,0.0,0.0,66.0,-0.09998491363053479
Beige,jng,LDL,2,56,0.446,Invictus Gaming Young|Team Pinnacle,44.0,57.5,63.9,61.2,51.5,54.3,4.4,5.8,6.4,6.1,5.2,5.4,0.0,0.0,0.0,249.20351964285715,0.13380216607142856,5.105339285714286,0.0,1.0533696428571429,0.2457160714285714,7.375,0.697986577181208,0.16288951841359772,9.392857142857142,0.2725563160077853,0.0,0.0,-0.8847583177933587,0.1695305,0.0,0.0,56.0,-0.33617773677736784
705,top,LDL,2,36,0.5,Joy Dream|Weibo Gaming Youth Team,46.9,66.3,58.3,53.0,43.3,54.3,4.7,6.6,5.8,5.3,4.3,5.4,0.0,0.0,0.0,459.6229333333333,0.21692094444444446,7.226302777777779,0.0,1.1102055555555554,0.211025,7.138888888888889,0.5674044265593562,0.23387096774193547,2.2222222222222223,0.2281305762569539,0.0,0.0,-0.950563928664957,0.21028316666666666,0.0,0.0,36.0,-0.2976779374963627
Lele,sup,LDL,2,124,0.629,FunPlus Phoenix|FunPlus Phoenix Blaze,51.8,48.6,56.6,48.4,76.8,54.2,5.2,4.9,5.7,4.8,7.7,5.4,0.0,0.0,0.0,173.84788467741936,0.07882545887096774,0.9934685483870968,0.0,2.4049225806451613,0.30760806451612904,10.935483870967742,0.7154944473823374,0.27987616099071205,0.008064516129032258,0.20308520584788414,0.18024595294525544,0.03409808210694315,-0.9878452721906648,0.0917526064516129,0.0,0.0,124.0,0.46281814585256476
