player_id,position,league,tier,games,winrate,操作,意识,心态,团队,体质,总评,box_综合,impact,final_z,teams
Xhow,jng,LDL,2,22,0.409,42.1,50.9,67.1,42.6,38.4,48.0,55.0,44.2,-0.325,Weibo Gaming Youth Team
danny1018,top,LDL,2,26,0.423,43.6,45.8,66.5,45.7,42.2,48.0,54.8,44.8,-0.321,Team WE Academy
Doggo,bot,LPL,1,88,0.5,51.4,47.5,43.9,45.7,49.4,48.0,50.9,54.4,-0.322,Bilibili Gaming|Bilibili Gaming Junior
Ahn,bot,LPL,1,45,0.444,47.7,48.5,46.3,50.7,46.3,48.0,50.9,54.3,-0.325,Invictus Gaming
Kurilius,bot,NEXO,3,33,0.576,47.7,46.7,50.5,46.5,49.8,48.0,46.4,65.6,-0.322,Herbalife Real Betis|Oxygen Valiants
Zin,sup,VCS,15,38,0.316,42.9,51.3,65.5,44.9,33.4,47.9,58.2,38.2,-0.326,AS Esports
Warszi,mid,UL,2,47,0.447,51.0,45.9,48.5,47.4,44.4,47.9,56.2,41.7,-0.326,Forsaken|Illuminar Gaming|RNL ROAR
Aria,mid,LCK,1,38,0.395,29.8,59.8,65.9,50.1,40.4,47.9,54.7,44.8,-0.33,KT Rolster
Indecision,jng,EBL,3,39,0.564,43.8,49.5,50.4,50.1,48.3,47.9,53.5,47.5,-0.33,Team Phantasma|Valiance
AnDa,jng,LCSA,2,31,0.452,47.1,60.1,34.8,53.5,33.4,47.9,52.0,51.3,-0.329,No Org|TSM Academy
DNK,jng,VCS,15,68,0.485,53.6,42.3,42.8,47.4,53.3,47.9,51.4,52.8,-0.33,SBTC Esports
Milo,bot,GL,3,20,0.3,56.9,56.0,30.1,51.3,26.5,47.8,61.5,33.9,-0.333,Osaka|RX Esports
Leyan,jng,LPL,1,87,0.425,50.3,56.3,37.5,40.1,47.0,47.8,55.2,43.5,-0.335,Rare Atom
Rosseu,sup,VL,3,24,0.5,43.9,52.0,54.9,48.0,38.9,47.8,52.4,50.2,-0.332,Waia Snikt
lhyz,jng,LDL,2,39,0.538,42.2,53.6,46.1,46.6,52.9,47.8,48.5,60.2,-0.333,Royal Club
Akainu,mid,LJLA,3,20,0.5,59.1,43.7,49.4,44.0,30.4,47.7,57.5,39.0,-0.339,Sengoku Gaming Academy
Tomio,jng,LCSA,2,88,0.409,38.3,47.2,55.3,50.2,58.9,47.7,56.3,41.3,-0.336,Evil Geniuses Academy
choego,bot,UL,2,28,0.429,35.6,58.7,55.3,54.2,35.9,47.7,54.5,45.0,-0.339,Cyberground Gaming|Forsaken
Disconnector,top,UPL,2,36,0.583,45.8,43.9,54.1,47.7,52.3,47.7,53.9,46.3,-0.34,Illinois State University
Frost4,jng,UPL,2,74,0.527,54.3,47.1,40.6,39.4,52.5,47.6,55.6,42.5,-0.342,Cloud9 Academy|Tempest Gaming|Winthrop University
Chinra,sup,LHE,2,21,0.286,43.7,45.8,53.5,48.1,52.5,47.6,54.1,45.8,-0.341,Maze Gaming|Supay Gaming
Trungi,top,HM,3,26,0.308,36.1,57.8,52.6,48.2,46.5,47.6,50.2,55.5,-0.343,Inaequalis|Inside Games
361efe,jng,TAL,3,26,0.769,45.6,41.8,59.2,45.6,52.5,47.6,44.0,69.8,-0.345,Fenerbahçe Academy
Djoko,jng,LFL,2,41,0.415,41.9,48.9,54.4,50.6,45.4,47.5,53.3,47.5,-0.348,Solary
SeongHwan,jng,TCL,15,33,0.485,38.2,58.4,47.6,50.7,42.9,47.5,52.5,49.5,-0.346,Fenerbahçe Esports
Leemas,bot,LCO,15,42,0.405,44.9,36.2,60.6,43.5,66.3,47.5,52.3,50.0,-0.347,Kanga Esports
Philip,top,LCSA,2,86,0.488,42.0,42.6,52.6,50.8,60.5,47.5,50.7,54.1,-0.347,FlyQuest|FlyQuest Academy
Disave,bot,CBLOL,15,28,0.607,46.0,46.7,55.6,46.7,43.4,47.5,48.5,59.7,-0.349,KaBuM! Esports
