player_id,position,league,tier,games,winrate,teams,操作,意识,心态,团队,体质,综合,操作_10,意识_10,心态_10,团队_10,体质_10,综合_10,f_gd15,f_xd15,f_cd15,f_dpm,f_dmgshare,f_cspm,f_multi,f_vspm,f_wcpm,f_cwards,f_kp,f_deathshare,f_ejg,f_adver,f_clutch,f_lateg,f_stable,f_egshare,f_dmgmit,f_gspd,f_games,f_decay
Mercy9,mid,TAL,3,45,0.556,Beşiktaş Academy|Galakticos Academy|Gentlemen's Gaming,68.2,68.0,71.9,55.8,68.5,66.8,6.8,6.8,7.2,5.6,6.8,6.7,343.68888888888887,395.02222222222224,14.155555555555555,514.3915488888889,0.27194771111111116,8.993931111111111,0.5333333333333333,1.0764422222222223,0.25142888888888887,3.1333333333333333,0.6838810641627543,0.16586921850079744,0.0,0.28597189336139617,0.3995282032212331,0.8961349850094126,-0.7421553195387517,0.25730044444444444,362.29248,0.0,45.0,0.594885738170321
Eyla,sup,LCSA,2,108,0.75,Team Liquid|Team Liquid Academy,62.6,69.7,66.5,62.5,77.0,66.8,6.3,7.0,6.7,6.2,7.7,6.7,139.8148148148148,144.40740740740742,-6.212962962962963,195.0054814814815,0.08268023796296296,0.9642814814814814,0.046296296296296294,2.7372666666666667,0.3709175925925926,13.675925925925926,0.7314218841427735,0.19001751313485113,0.0,0.21184828943053888,0.007324300891597778,0.4637386717048195,-0.7192883427238717,0.09640574074074075,285.15459166666665,0.0,108.0,0.44006377254459106
Attila,bot,NLC,2,61,0.59,Giants|X7 Esports,73.4,69.8,56.6,60.3,64.4,66.6,7.3,7.0,5.7,6.0,6.4,6.7,256.88524590163934,75.31147540983606,7.885245901639344,695.1233918032787,0.29439400000000004,9.854240983606557,1.2295081967213115,1.3257950819672133,0.3655032786885246,3.2295081967213113,0.6888150609080842,0.1379746835443038,0.0,0.18189473684210528,0.2740801984291029,-0.44536309769877364,-0.7850353408211568,0.2859395737704918,299.50613934426224,0.0,61.0,0.2783508536005378
MnM,bot,PCS,15,54,0.481,Frank Esports,71.0,69.3,61.9,59.7,65.1,66.6,7.1,6.9,6.2,6.0,6.5,6.7,291.75925925925924,265.1666666666667,4.37037037037037,607.434237037037,0.3008529722222222,9.010961111111111,1.0925925925925926,1.5477740740740742,0.3885,4.888888888888889,0.7068965517241379,0.15805946791862285,0.0,0.21571541146009232,-0.08887031074903501,0.3426065920774116,-0.8496023718160669,0.27886462962962966,302.58213518518517,0.0,54.0,0.34640392117635294
Bie,sup,VCS,15,78,0.769,GAM Esports,69.8,66.4,73.0,52.7,69.4,66.6,7.0,6.6,7.3,5.3,6.9,6.7,141.21794871794873,74.28205128205128,2.641025641025641,188.81286794871795,0.08036470897435898,1.249548717948718,0.08974358974358974,2.7857910256410254,0.3563871794871795,14.294871794871796,0.664796633941094,0.17210682492581603,0.0,0.3013665930655845,0.1394715186259956,0.02622129123961997,-0.7089544816328198,0.10192453974358974,428.39229358974353,0.0,78.0,0.13159122725151634
Photon,top,LCKC,2,91,0.637,T1 Esports Academy,68.3,74.6,48.8,62.7,73.3,66.5,6.8,7.5,4.9,6.3,7.3,6.7,226.2207792207792,258.5194805194805,7.675324675324675,529.2219626373627,0.2382092131868132,8.71675934065934,0.5054945054945055,1.047335164835165,0.23685054945054945,4.461538461538462,0.5914454277286135,0.1682403433476395,2.7142857142857144,0.1838051963183036,-0.22795646748925547,-0.6701268542908638,-0.8724737686817838,0.24104495604395604,668.1420272727272,0.0,91.0,0.4669657380437363
Lyonz,sup,LMF,2,59,0.695,Leviatan|River Plate Gaming,75.6,61.4,63.0,60.3,67.8,66.5,7.6,6.1,6.3,6.0,6.8,6.7,421.7118644067797,379.6101694915254,17.915254237288135,181.19039661016947,0.08677059322033898,1.9604915254237287,0.03389830508474576,2.4290389830508476,0.31823898305084747,17.508474576271187,0.7235228539576366,0.19592476489028213,0.0,0.303008556305932,-0.36789702539776664,-0.4980358731099911,-0.7132365471313326,0.10370182372881356,444.46713220338984,0.0,59.0,0.40056818181818193
pinz,mid,LDL,2,79,0.722,Bilibili Gaming Junior|FunPlus Phoenix Blaze,56.2,77.7,74.7,56.1,70.1,66.4,5.6,7.8,7.5,5.6,7.0,6.6,0.0,0.0,0.0,633.469353164557,0.2868164936708861,8.941051898734178,0.0,1.4259696202531646,0.2652898734177215,5.7974683544303796,0.6795454545454546,0.1363173957273652,3.6582278481012658,0.3369280325973239,0.1542238509257265,0.1724868865416397,-0.6407264231108728,0.24411096202531646,0.0,0.0,79.0,0.1015496575342464
Tempt,mid,NLC,2,78,0.679,X7 Esports,73.2,62.3,66.5,57.5,69.5,66.3,7.3,6.2,6.7,5.8,7.0,6.6,459.87179487179486,239.2948717948718,8.666666666666666,662.8308923076924,0.26959283076923074,8.855574358974359,0.5769230769230769,1.2589435897435897,0.22432051282051282,6.0256410256410255,0.6686792452830189,0.19398340248962656,0.0,0.2625245915973245,0.16611789110829822,-0.0345138006976707,-0.7374984484525409,0.23706524358974357,395.9298705128205,0.0,78.0,0.2067273299567919
Cabochard,top,LFL,2,77,0.61,Karmine Corp,78.4,60.7,63.2,57.1,64.2,66.3,7.8,6.1,6.3,5.7,6.4,6.6,856.4675324675325,497.45454545454544,20.532467532467532,564.4865636363636,0.2553353376623376,8.766218181818182,0.5714285714285714,0.9653363636363637,0.1767948051948052,5.142857142857143,0.5988515176374077,0.21743486973947895,0.0,0.28123842592592596,-0.47295722039081994,0.1426709187830256,-0.8093878268300222,0.24902563636363634,708.8252740259741,0.0,77.0,-0.09302280389813541
JackeyLove,bot,LPL,1,128,0.633,Top Esports,76.4,60.0,60.1,57.5,72.7,66.1,7.6,6.0,6.0,5.8,7.3,6.6,921.1666666666666,220.5,11.0,642.46154140625,0.3034947578125,9.0560421875,0.0546875,1.4182828125,0.47110234375,5.9453125,0.7084221748400853,0.20569840166782488,2.6475409836065573,0.21962314539080402,-0.10852197540465545,-0.09237491313578769,-0.7559844933213976,0.2666992265625,276.6486,0.0,128.0,0.13641761443629644
Uprising,top,EL,3,29,0.621,Aurelius Esports|Goat Esports,65.3,73.4,64.9,65.7,54.6,66.1,6.5,7.3,6.5,6.6,5.5,6.6,182.31034482758622,131.3448275862069,4.0344827586206895,547.3291413793103,0.2585382068965517,7.5883551724137925,0.41379310344827586,1.1163310344827588,0.21703448275862067,3.793103448275862,0.6102449888641426,0.17899761336515513,0.0,0.22161263581991106,0.43739578198903023,0.06593395068849439,-0.8367863023011701,0.22519806896551725,797.1902862068965,0.0,29.0,0.28461218370755453
Siwoo,top,LAS,3,39,0.59,Dplus Kia Academy,71.9,58.1,67.0,67.2,65.9,66.1,7.2,5.8,6.7,6.7,6.6,6.6,290.3333333333333,181.35897435897436,10.846153846153847,628.730741025641,0.22091620512820512,7.762751282051282,0.6666666666666666,0.860397435897436,0.15302307692307693,4.743589743589744,0.5472186287192755,0.16224188790560473,0.0,0.3063263560840528,0.38577551992379755,-0.27488490236545476,-0.9418503776779897,0.211330641025641,1013.5545102564103,0.0,39.0,0.8984700450934076
Skeanz,jng,LFL,2,109,0.688,Vitality.Bee,67.6,61.6,63.9,64.7,75.8,66.0,6.8,6.2,6.4,6.5,7.6,6.6,218.30275229357798,250.37614678899084,2.981651376146789,360.7151633027523,0.15326580458715597,5.967078899082569,0.5321100917431193,1.27825871559633,0.27974678899082567,11.458715596330276,0.7042181069958847,0.160828025477707,0.0,0.23429277877370788,0.006150839882225876,-0.4470201656463809,-0.6438642353726496,0.19130288073394497,832.3443036697248,0.0,109.0,0.0429314565483477
Wamu,top,LHE,2,52,0.538,Meta Gaming|Stone Movistar,68.5,69.8,65.1,59.3,61.8,66.0,6.8,7.0,6.5,5.9,6.2,6.6,372.0576923076923,103.78846153846153,8.26923076923077,514.6746865384615,0.2649117692307692,8.420184615384615,0.34615384615384615,1.1883230769230768,0.16687884615384616,5.019230769230769,0.5648648648648649,0.1672077922077922,0.0,0.21611555864949533,0.49016941469771674,0.0,-0.8745670132148482,0.24122225,634.4591865384615,0.0,52.0,0.4164064717570254
Roison,mid,LFL2,2,64,0.719,IziDream,74.2,57.7,68.3,62.6,64.1,65.9,7.4,5.8,6.8,6.3,6.4,6.6,235.328125,173.71875,5.8125,688.241096875,0.287680390625,8.543729687499999,1.03125,0.8683375,0.124646875,3.59375,0.715622076707203,0.1440922190201729,0.0,0.28401610836536706,0.013597299539579093,-0.3915148290996143,-0.6083690251806306,0.2543974375,304.1900171875,0.0,64.0,-0.07164913083257089
Rylle,mid,NLC Aurora Open,3,20,0.7,Nativz,77.9,66.3,66.6,53.0,51.3,65.9,7.8,6.6,6.7,5.3,5.1,6.6,1004.25,597.85,17.25,593.976985,0.25701067499999997,8.536575000000001,0.75,1.10312,0.244855,2.55,0.5848484848484848,0.11059907834101383,0.0,0.2388327721661055,0.18086838534599728,0.1955223880597015,-0.6416705436892346,0.2388938,358.37721999999997,0.0,20.0,0.15394736842105264
Forest,jng,LCKC,2,91,0.637,T1 Esports Academy,70.2,70.1,54.2,56.5,72.3,65.7,7.0,7.0,5.4,5.7,7.2,6.6,433.12987012987014,342.6363636363636,10.376623376623376,346.3801989010989,0.15385199010989012,5.9402923076923075,0.2967032967032967,1.5576285714285716,0.471510989010989,10.626373626373626,0.6910029498525073,0.22832618025751072,8.357142857142858,0.24935906827835966,-0.1676937809009404,-0.5423464029786409,-0.9337422007741852,0.18349592307692308,730.1743324675325,0.0,91.0,0.3759030350541881
Xpontaneous,bot,VL,3,47,0.851,Descuydado Aucas Esports,70.9,64.6,66.8,58.1,63.6,65.7,7.1,6.5,6.7,5.8,6.4,6.6,527.936170212766,338.51063829787233,9.02127659574468,611.2774170212766,0.26747844680851063,8.168668085106383,1.0425531914893618,1.2556787234042552,0.3072085106382979,4.404255319148936,0.6455981941309256,0.13345864661654136,0.0,0.22999151038048932,0.35577538701810113,-0.2590865521618611,-0.6091146399558274,0.2374784255319149,223.4886170212766,0.0,47.0,-0.1554307116104869
Honey,bot,LJL,15,38,0.658,QT DIG∞,69.0,72.4,64.7,59.8,52.5,65.7,6.9,7.2,6.5,6.0,5.2,6.6,165.02631578947367,282.57894736842104,6.657894736842105,605.5441921052632,0.3184157105263158,10.160236842105263,0.6578947368421053,1.5040052631578948,0.4945921052631579,5.184210526315789,0.712890625,0.16030534351145037,0.0,0.23535176944267852,-0.317241335200926,0.0757046645048642,-0.6650657269359576,0.28120526315789474,305.72221315789477,0.0,38.0,-0.2006183062824334
SAKEN,mid,LFL,2,84,0.607,Karmine Corp,70.2,69.7,57.2,60.1,63.8,65.6,7.0,7.0,5.7,6.0,6.4,6.6,367.1309523809524,202.28571428571428,8.071428571428571,621.3218488095239,0.27711290714285713,8.736323809523808,0.4642857142857143,1.299945238095238,0.25411666666666666,4.309523809523809,0.658008658008658,0.1511627906976744,0.0,0.23062301943019553,-0.4421701769165965,0.0412056538425538,-0.7283280360958065,0.2370415357142857,336.2533166666667,0.0,84.0,-0.3221146901632239
