player_id,position,league,tier,games,winrate,teams,操作,意识,心态,团队,体质,综合,操作_10,意识_10,心态_10,团队_10,体质_10,综合_10,f_gd15,f_xd15,f_cd15,f_dpm,f_dmgshare,f_cspm,f_multi,f_vspm,f_wcpm,f_cwards,f_kp,f_deathshare,f_ejg,f_adver,f_clutch,f_lateg,f_stable,f_egshare,f_dmgmit,f_gspd,f_games,f_decay
Alphari,top,LEC,1,45,0.467,Team Vitality,67.9,64.2,65.4,57.1,45.9,62.2,6.8,6.4,6.5,5.7,4.6,6.2,393.8,154.75555555555556,10.022222222222222,498.36032666666665,0.24045315555555555,8.411393333333333,0.2,1.1069933333333333,0.16554222222222223,4.844444444444444,0.5582191780821918,0.17028380634390652,3.909090909090909,0.23516177957532858,-0.03239134624650676,0.9254119687771033,-1.0351786189994832,0.23381851111111113,619.03132,0.0,45.0,0.10788052826012151
JNX,top,LEC,1,36,0.389,SK Gaming,59.3,71.2,67.3,59.3,46.7,62.2,5.9,7.1,6.7,5.9,4.7,6.2,140.52777777777777,-86.75,2.638888888888889,466.45090000000005,0.2614053055555556,8.714611111111111,0.2777777777777778,1.1172833333333334,0.21476388888888887,4.5,0.6098191214470284,0.18831168831168832,3.5,0.26706021251475803,0.0,0.0,-0.9608960201761375,0.25290919444444443,743.441025,0.0,36.0,0.14221724524076146
huhi,sup,LCS,1,76,0.566,100 Thieves,74.5,59.5,51.9,58.9,53.1,61.9,7.5,6.0,5.2,5.9,5.3,6.2,216.48684210526315,238.30263157894737,11.223684210526315,156.3487592105263,0.08115866447368421,1.5922052631578947,0.039473684210526314,2.650505263157895,0.3254394736842105,15.842105263157896,0.7362869198312236,0.22128174123337363,0.0,0.21981123701492697,-0.3472318685328845,-0.34543583292832847,-0.8767010335191174,0.10094098684210527,354.2497907894737,0.0,76.0,-0.06412716804866579
Zeka,mid,LCK,1,130,0.546,Kiwoom DRX,65.6,55.9,63.2,54.3,73.0,61.8,6.6,5.6,6.3,5.4,7.3,6.2,138.19230769230768,16.4,3.7846153846153845,539.5542607692307,0.2586899,9.245973846153845,0.6153846153846154,1.1036353846153846,0.2584738461538461,6.676923076923077,0.6764705882352942,0.15688859591298615,0.0,0.27866461736089726,-0.2753897685427333,0.2561615393149795,-0.8095606032631637,0.25219073846153844,376.84947538461535,0.0,130.0,0.20334012624881953
Deft,bot,LCK,1,130,0.554,Kiwoom DRX,60.5,58.0,63.3,59.7,69.7,61.3,6.0,5.8,6.3,6.0,7.0,6.1,36.323076923076925,28.946153846153845,-0.08461538461538462,591.1547623076923,0.2854588,9.243840769230768,0.7615384615384615,1.5066292307692306,0.3812053846153846,6.092307692307692,0.6935791481246026,0.17947019867549668,0.0,0.22869793295954952,-0.11147408245033578,0.5481635046278844,-0.8093620270895467,0.2642337692307692,312.40618307692307,0.0,130.0,0.014291140442503066
Rascal,top,LCK,1,98,0.49,KT Rolster,55.3,62.9,65.1,60.1,68.3,61.2,5.5,6.3,6.5,6.0,6.8,6.1,95.1734693877551,179.41836734693877,1.1020408163265305,440.9702010204082,0.22984700000000002,8.488202040816326,0.2755102040816326,1.0569102040816327,0.2687969387755102,7.36734693877551,0.5959765297569153,0.22380106571936056,0.0,0.2718987110060255,-0.27641653905053604,-0.33671516079632474,-0.8781564559174301,0.23287323469387755,884.4210826530611,0.0,98.0,0.3222404726083176
Light,bot,LPL,1,113,0.531,LNG Esports,57.5,68.2,57.7,58.8,62.3,61.1,5.8,6.8,5.8,5.9,6.2,6.1,0.0,0.0,0.0,614.2343557522124,0.2954685309734513,9.680176991150441,0.0,1.2059247787610619,0.4218637168141593,2.9734513274336285,0.7207880434782609,0.12984218077474893,3.9469026548672566,0.23232809275727093,-0.2624129730366234,-0.28181070754945114,-0.7656821373746139,0.2835876460176991,0.0,0.0,113.0,-0.15645641103211813
Canna,top,LCK,1,83,0.361,Nongshim RedForce,69.2,58.8,57.0,58.8,54.5,61.1,6.9,5.9,5.7,5.9,5.5,6.1,182.15662650602408,96.73493975903614,1.783132530120482,507.7907132530121,0.2743552891566265,8.53266265060241,0.40963855421686746,1.0144855421686747,0.18896144578313254,7.132530120481928,0.6013143483023001,0.19607843137254902,0.0,0.20459853650147297,0.0,0.0,-0.9780342774521192,0.24616684337349395,721.0392349397591,0.0,83.0,-0.037216701222563923
MISSING,sup,LPL,1,121,0.669,JD Gaming,61.2,56.7,63.0,58.5,69.5,60.9,6.1,5.7,6.3,5.8,7.0,6.1,119.14285714285714,63.357142857142854,-0.2857142857142857,176.88224132231403,0.0764015347107438,0.9968834710743801,0.0,2.6295347107438016,0.32199834710743797,15.338842975206612,0.7154596815613765,0.211258697027198,0.0,0.2535307667592554,-0.042517631160756714,-0.23740917632320702,-0.8279427399213146,0.09445104297520661,282.1002,0.0,121.0,0.1706378155158258
Wei,jng,LPL,1,162,0.66,Royal Never Give Up,68.5,59.9,46.1,52.6,74.2,60.8,6.8,6.0,4.6,5.3,7.4,6.1,469.19565217391306,211.1086956521739,1.0217391304347827,299.1534419753087,0.14364449506172838,5.391101851851852,0.10493827160493827,1.6687172839506172,0.4407234567901234,12.160493827160494,0.6641524414450178,0.20962566844919786,8.655172413793103,0.15821668318698315,-0.27221638765049144,-0.16631026142150876,-0.8306776851982962,0.1707839938271605,660.9535239130435,0.0,162.0,-0.04265523093304943
